place,landed,filled
Pune,0.0,23044
Bangalore,96768.0,29961
Chennai,88882.0,22362
Dehradun,129409.0,34382
Indore,984054.0,300589
Pune,257543.0,72689
Bangalore,336097.0,140800
Chennai,282706.0,81147
Dehradun,1412563.0,873534
Indore,2739053.0,1251258
Pune,1715715.0,194873
Bangalore,57452.0,6487
Chennai,62807.0,8275
Dehradun,90956.0,12170
Indore,428322.0,91535
Pune,175084.0,24023
Bangalore,0.0,13690
Chennai,0.0,4579
Dehradun,0.0,12082
Indore,0.0,63051
Pune,0.0,32662
Bangalore,0.0,25914
Chennai,0.0,9478
Dehradun,0.0,15308
Indore,0.0,134575
Pune,0.0,90760
Bangalore,0.0,4058
Chennai,0.0,2129
Dehradun,0.0,3853
Indore,0.0,21137
Pune,0.0,14264
Bangalore,127677.0,32871
Chennai,82919.0,17565
Dehradun,166025.0,35942
Indore,1132444.0,295540
Pune,361979.0,80423
Bangalore,455615.0,32378
Chennai,237684.0,21265
Dehradun,449940.0,22075
Indore,2037350.0,269536
Pune,1678176.0,171053
Bangalore,60847.0,4560
Chennai,43155.0,5144
Dehradun,57591.0,5137
Indore,482070.0,66136
Pune,197193.0,21902
Bangalore,0.0,15285
Chennai,0.0,8713
Dehradun,0.0,15353
Indore,0.0,84775
Pune,0.0,41369
Bangalore,0.0,24654
Chennai,0.0,16663
Dehradun,0.0,20588
Indore,0.0,162916
Pune,0.0,90391
Bangalore,0.0,6153
Chennai,0.0,4838
Dehradun,0.0,6570
Indore,0.0,40370
Pune,0.0,23072
Bangalore,90010.0,28268
Chennai,82608.0,21082
Dehradun,113826.0,29315
Indore,867234.0,272002
Pune,246068.0,72361
Bangalore,297111.0,97076
Chennai,307304.0,63374
Dehradun,457465.0,38034
Indore,1622923.0,446361
Pune,1522773.0,196558
Bangalore,54882.0,6254
Chennai,61327.0,7178
Dehradun,88255.0,7261
Indore,410247.0,89959
Pune,158587.0,22758
Bangalore,0.0,13416
Chennai,0.0,4233
Dehradun,0.0,11126
Indore,0.0,61584
Pune,0.0,37978
Bangalore,0.0,27585
Chennai,0.0,9286
Dehradun,0.0,15545
Indore,0.0,149217
Pune,0.0,87585
Bangalore,0.0,4098
Chennai,0.0,2081
Dehradun,0.0,3888
Indore,0.0,22954
Pune,0.0,14634
Bangalore,116576.0,31584
Chennai,79022.0,17254
Dehradun,149300.0,32966
Indore,975980.0,258797
Pune,370399.0,92590
Bangalore,500893.0,34270
Chennai,296176.0,21459
Dehradun,526804.0,22530
Indore,2141633.0,286866
Pune,1644812.0,172130
Bangalore,70249.0,4734
Chennai,49464.0,5240
Dehradun,69452.0,5328
Indore,522058.0,76767
Pune,190705.0,21330
Bangalore,0.0,15157
Chennai,0.0,30171
Dehradun,0.0,16455
Indore,0.0,78976
Pune,0.0,37394
Bangalore,0.0,24997
Chennai,0.0,50229
Dehradun,0.0,22657
Indore,0.0,137863
Pune,0.0,87473
Bangalore,0.0,6129
Chennai,0.0,17020
Dehradun,0.0,6965
Indore,0.0,31724
Pune,0.0,20351
Bangalore,93909.0,30013
Chennai,236269.0,74696
Dehradun,121583.0,30892
Indore,840659.0,268879
Pune,306668.0,84581
Bangalore,226964.0,54863
Chennai,496221.0,101867
Dehradun,442999.0,46825
Indore,1252001.0,335146
Pune,1728185.0,269230
Bangalore,51558.0,6678
Chennai,133211.0,24716
Dehradun,94994.0,8225
Indore,358499.0,78976
Pune,215669.0,31832
Bangalore,0.0,14300
Chennai,0.0,18635
Dehradun,0.0,12103
